Ticker,Halt_dt,Resume_dt,Halt Duration,Direction,Halt Price
DGNX,2025-03-20 09:35:32,2025-03-20 09:40:32,5,UP,126.44000244140625
OM,2025-03-20 09:37:31,2025-03-20 09:42:31,5,UP,8.819999694824219
DGNX,2025-03-20 09:41:46,2025-03-20 09:51:46,10,DOWN,120.23999786376953
SAG,2025-03-20 09:43:16,2025-03-20 09:48:16,5,UP,1.25
DGNX,2025-03-20 09:54:53,2025-03-20 09:59:53,5,UP,110.5999984741211
OM,2025-03-20 10:30:26,2025-03-20 10:35:26,5,UP,10.970000267028809
VERO,2025-03-20 12:35:29,2025-03-20 12:40:29,5,DOWN,2.6500000953674316
VERO,2025-03-20 12:40:49,2025-03-20 12:45:49,5,DOWN,2.5
RGC,2025-03-20 12:41:50,2025-03-20 12:46:50,5,DOWN,36.5
PSTV,2025-03-20 12:50:32,2025-03-20 12:55:32,5,UP,1.5299999713897705
LEE,2025-03-20 13:30:29,2025-03-20 13:35:29,5,UP,10.020000457763672
EVOK,2025-03-20 13:58:39,2025-03-20 14:08:39,10,UP,3.0399999618530273
PSTV,2025-03-20 14:01:56,2025-03-20 14:06:56,5,UP,1.600000023841858
ULY,2025-03-20 14:23:15,2025-03-20 14:28:15,5,UP,6.289999961853027
ULY,2025-03-20 14:28:58,2025-03-20 14:33:58,5,UP,7.099999904632568
ULY,2025-03-20 14:34:30,2025-03-20 14:39:30,5,DOWN,6.400000095367432
PSTV,2025-03-20 15:14:33,2025-03-20 15:19:33,5,DOWN,1.850000023841858
PSTV,2025-03-20 15:21:42,2025-03-20 15:26:42,5,DOWN,1.6299999952316284
