Ticker,Halt_dt,Resume_dt
SKBL,2025-03-19 09:48:52,2025-03-19 09:53:52
SKBL,2025-03-19 09:54:07,2025-03-19 09:59:07
SKBL,2025-03-19 09:59:22,2025-03-19 10:09:22
SKBL,2025-03-19 10:09:55,2025-03-19 10:19:55
KBSX,2025-03-19 10:11:45,2025-03-19 10:16:45
BOWN,2025-03-19 10:17:22,2025-03-19 10:22:22
SKBL,2025-03-19 10:21:51,2025-03-19 10:26:51
BOWN,2025-03-19 10:22:40,2025-03-19 10:32:41
BOWN,2025-03-19 10:36:35,2025-03-19 10:41:35
ADTX,2025-03-19 10:54:30,2025-03-19 10:59:30
BOWN,2025-03-19 11:01:27,2025-03-19 11:06:27
XHLD,2025-03-19 12:02:45,2025-03-19 12:07:45
RGC,2025-03-19 12:54:28,2025-03-19 12:59:28
RGC,2025-03-19 13:10:31,2025-03-19 13:15:31
